HudongItem1,relation,HudongItem2
菊糖,instance of,化合物
菊糖,instance of,多糖
瓦尔,instance of,河流
菊糖,subclass of,食物
瓦尔,origin of the watercourse,莱茵河
纳木错,instance of,湖泊
纳木错,basin country,中华人民共和国
菊糖,has part,氧
温县,instance of,县
乙酸香叶酯,instance of,化合物
Satsuma,instance of,城市
Bishop,instance of,城市
音源,subclass of,机械
小型计算机,subclass of,电子计算机
1430年,instance of,年
纳木错,country,中华人民共和国
瓦尔,continent,欧洲
菊糖,has part,碳
温县,country,中华人民共和国
乙酸香叶酯,has part,碳
Satsuma,country,美国
纳木错,located in the administrative territorial entity,西藏自治区
心肌梗死,instance of,疾病
草药,instance of,俗名
砷酸,instance of,化合物
波河,instance of,河流
温县,located in the administrative territorial entity,焦作市
Bishop,country,美国
海螂目,taxon rank,目
艾博特,sex or gender,男性
Kellogg,sex or gender,男性
Welch,instance of,城市
PSD,instance of,政党
艾博特,country of citizenship,美国
草药,use,传统医学
茄子,taxon rank,种
波河,mouth of the watercourse,亚得里亚海
Kellogg,country of citizenship,美国
Arnold,writing system,拉丁文字
白蜡树,taxon rank,种
犰狳科,taxon rank,科
Welch,country,美国
草芍药,taxon rank,种
砷酸,has part,氧
Kellogg,given name,Albert
243年,instance of,年
MgO,instance of,化合物
圣华金河,instance of,河流
白蜡树,parent taxon,梣树
PVI,country,巴西
草芍药,parent taxon,芍药属
心肌梗死,symptoms,胸痛
艾博特,family name,阿伯特
茄子,has fruit type,浆果
砷酸,has part,砷
牡荆属,taxon rank,属
PVI,located in the administrative territorial entity,巴拉那州
Arnold,family name identical to this given name,Arnold
闰年,instance of,时间单位
碳酸铵,instance of,化合物
牡荆属,parent taxon,唇形科
圣华金河,mouth of the watercourse,萨克拉门托河
Arnold,different from,Arnold
孟元,sex or gender,男性
闰年,subclass of,年份
以太网,named after,以太
Bing,sex or gender,男性
犰狳科,Code of nomenclature,国际动物命名法规
Kellogg,field of work,植物学
1557年,instance of,年
甘油醛,instance of,丙糖
南诏,capital,大理市
碳酸铵,has part,氮
Bing,country of citizenship,加拿大
Mira,writing system,拉丁文字
MgO,has part,氧
艾博特,languages spoken written or signed,英语
Carlson,writing system,拉丁文字
甘油醛,instance of,醛糖
懒熊,taxon rank,种
百里奚,sex or gender,男性
水晶兰属,taxon rank,属
闰年,part of,公历
Mira,family name identical to this given name,Mira
MgO,has part,镁
艾博特,occupation,天文学家
大红袍,country of origin,中华人民共和国
氯化铁,instance of,化合物
胰凝乳蛋白酶,instance of,消化酶
1771年,instance of,年
Rapido,instance of,河流
Carlson,different from,Carlson
甘油醛,instance of,醛
百里奚,country of citizenship,秦国
碳酸铵,has part,氧
Bing,family name,Thompson
Mira,different from,Mira
张德慈,sex or gender,男性
氯化铁,has part,铁
胰凝乳蛋白酶,subclass of,丝氨酸蛋白酶
王维,sex or gender,男性
甘油醛,instance of,化合物
水晶兰属,has fruit type,蒴果
闰年,opposite of,平年
碳酸铵,has part,碳
Bing,place of birth,蒙特利尔
圣华金河,continent,北美洲
机电工程,subclass of,工程学
氟烷,instance of,化合物
麦格雷戈,instance of,城市
张德慈,country of citizenship,中华人民共和国
氯化铁,has part,氯
胰凝乳蛋白酶,found in taxon,智人
1771年,follows,1770年
王维,country of citizenship,中国
Rapido,country,意大利
甘油醛,has part,碳
圣华金河,country,美国
Mango,sex or gender,男性
麦格雷戈,country,美国
木地肤,taxon rank,种
1771年,followed by,1772年
王维,family name,王
甘油醛,has part,氧
心肌梗死,drug used for treatment,尿激酶
正山小种,subclass of,红茶
贝加尔湖,instance of,湖泊
Mango,country of citizenship,意大利
张德慈,place of birth,上海市
Cramer,sex or gender,男性
青山,country,日本
正山小种,country of origin,中华人民共和国
溜曲霉,taxon rank,种
Nuclear,country of origin,智利
王维,place of death,西安市
Seth,writing system,拉丁文字
贝加尔湖,lake inflows,色楞格河
溜曲霉,parent taxon,曲霉属
柱式,facet of,古典建筑
Cramer,given name,Gabriel
Seth,family name identical to this given name,Seth
王维,languages spoken written or signed,汉语
艾博特,educated at,麻省理工学院
氟烷,medical condition treated,哮喘
王维,languages spoken written or signed,文言文
TG,chairperson,毛泽东
Seth,different from,Seth
Mango,cause of death,心肌梗死
Cramer,languages spoken written or signed,法语
王维,occupation,诗人
TG,country,中华人民共和国
Cramer,occupation,数学家
张德慈,educated at,明尼苏达大学
TG,headquarters location,中南海
Cramer,occupation,物理学家
氟烷,has part,氟
TG,political ideology,毛泽东思想
氟烷,has part,碳
波河,continent,欧洲
Mango,occupation,诗人
心肌梗死,drug used for treatment,链激酶
波河,country,意大利
McClintock,instance of,姓氏
凳,subclass of,座位
黄酮类化合物,subclass of,化合物
1629年,instance of,年
贝加尔湖,basin country,俄罗斯
McClintock,different from,McClintock
黄羊,taxon rank,种
